Id,District number,District Name,Neighborhood Number,Neighborhood Name,Street,Weekday,Weekday Number,Year,Month Number,Month,Day,Hour,Part of the Day,Cause,Cause Number,Deaths,Mild Injured,Seriously Injured,Victims,Vehicles Involved,Latitude,Longitude,Mult_Vic,Mult_Cars,Corner,Serious
2017S007600    ,10,Sant Martí,65,el Clot,ARAGÓ / BILBAO,Wednesday,3,2017,9,September,13,23,Night,Not pedestrian at fault,2,0,1,0,1,5,41.41363538532154,2.192815213430537,No,Yes,Yes,No
2017S000137    ,10,Sant Martí,65,el Clot,ARAGÓ,Friday,5,2017,1,January,6,22,Night,Not pedestrian at fault,2,0,1,0,1,2,41.411594927313885,2.188551984889926,No,Yes,No,No
2017S008267    ,10,Sant Martí,65,el Clot,CORTS CATALANES / POBLENOU,Friday,5,2017,10,October,6,20,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.409429484976776,2.1931308572742325,No,Yes,Yes,No
2017S007951    ,10,Sant Martí,65,el Clot,CONCILI DE TRENTO / LOPE DE VEGA,Thursday,2,2017,9,September,26,12,Morning,Not crossing in the zebra lines,5,0,1,0,1,1,41.41413482329484,2.1948553611649944,No,No,Yes,No
2017S006854    ,10,Sant Martí,65,el Clot,ARAGÓ / LAS NAS DE TOLOSA,Thursday,2,2017,8,August,8,23,Night,Not pedestrian at fault,2,0,1,0,1,2,41.413463583564955,2.1926570050025735,No,Yes,Yes,No
2017S006079    ,10,Sant Martí,65,el Clot,VALÈNCIA,Wednesday,3,2017,7,July,12,17,Afternoon,Not crossing in the zebra lines,5,0,1,0,1,1,41.412673091678535,2.1887392231975737,No,No,No,No
2017S004641    ,10,Sant Martí,65,el Clot,CONCILI DE TRENTO / LOPE DE VEGA,Friday,5,2017,5,May,26,8,Morning,Not pedestrian at fault,2,0,1,0,1,3,41.413586294296515,2.1947947699777903,No,Yes,Yes,No
2017S003623    ,10,Sant Martí,65,el Clot,MERIDIANA / TRINXANT,Sunday,7,2017,4,April,23,11,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.415457738268834,2.1883030050164467,No,Yes,Yes,No
2017S008103    ,10,Sant Martí,65,el Clot,LAS NAS DE TOLOSA / MÚRCIA,Sunday,7,2017,10,October,1,21,Afternoon,Not pedestrian at fault,2,0,2,0,2,2,41.41653001319374,2.1886130925630725,Yes,Yes,Yes,No
2017S003940    ,10,Sant Martí,65,el Clot,BILBAO,Tuesday,4,2017,5,May,4,10,Morning,Not pedestrian at fault,2,0,1,0,1,3,41.41265279564425,2.19373242361459,No,Yes,No,No
2017S006732    ,10,Sant Martí,73,la Verneda i la Pau,CONCILI DE TRENTO / EXTREMADURA,Wednesday,3,2017,8,August,2,11,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.42425547551443,2.21192856936072,No,Yes,Yes,No
2017S003914    ,10,Sant Martí,70,el Besòs i el Maresme,LITORAL (LLOBREGAT),Wednesday,3,2017,5,May,3,11,Morning,Not pedestrian at fault,2,0,4,0,4,2,41.411503928122514,2.2224763183824576,Yes,Yes,No,No
